cpt_code,group_en,description_en,description_el,price_eur
72202,XRAY,"Radiologic examination, sacroiliac joints; 3 or more views","Ακτινολογική εξέταση, ιερολαγόνιες αρθρώσεις; 3 ή περισσότερες προβολές",27.5
72220,XRAY,"Radiologic examination, sacrum and coccyx, minimum of 2 views","Ακτινολογικός έλεγχος ιερού οστού και κόκκυγα, τουλάχιστον 2 προβολές",27.5
73000-50,XRAY,"Radiologic examination; clavicle, complete","Ακτινολογική εξέταση; κλείδα, άμφω",36.5
73000-RT,XRAY,"Radiologic examination; clavicle, complete","Ακτινολογική εξέταση; κλείδα, δεξιά",23
73000-LT,XRAY,"Radiologic examination; clavicle, complete","Ακτινολογική εξέταση; κλείδα, αριστερά",23
73010-50,XRAY,"Radiologic examination; scapula, complete","Ακτινολογική εξέταση; ωμοπλάτη,άμφω",32
73010-RT,XRAY,"Radiologic examination; scapula, complete","Ακτινολογική εξέταση; ωμοπλάτη,δεξιά",23
73010-LT,XRAY,"Radiologic examination; scapula, complete","Ακτινολογική εξέταση; ωμοπλάτη,αριστερά",23
73030-50,XRAY,"Radiologic examination, shoulder; complete, minimum of 2 views","Ακτινολογική εξέταση, ώμος; πλήρης, τουλάχιστον 2 προβολές άμφω",36.5
73030-RT,XRAY,"Radiologic examination, shoulder; complete, minimum of 2 views","Ακτινολογική εξέταση, ώμος; πλήρης, τουλάχιστον 2 προβολές δεξιά",27.5
73030-LT,XRAY,"Radiologic examination, shoulder; complete, minimum of 2 views","Ακτινολογική εξέταση, ώμος; πλήρης, τουλάχιστον 2 προβολές αριστερά",27.5
73050,XRAY,"Radiologic examination; acromioclavicular joints, bilateral, with or without weighted distraction","Ακτινολογική εξέταση; ακρωμιοκλειδικές αρθρώσεις, άμφω with or without weighted distraction",27.5
73060-50,XRAY,"Radiologic examination; humerus, minimum of 2 views","Ακτινολογική εξέταση; βραχιόνιο, τουλάχιστον 2 προβολές άμφω",32
73060-RT,XRAY,"Radiologic examination; humerus, minimum of 2 views","Ακτινολογική εξέταση; βραχιόνιο, τουλάχιστον 2 προβολές δεξιά",23
73060-LT,XRAY,"Radiologic examination; humerus, minimum of 2 views","Ακτινολογική εξέταση; βραχιόνιο, τουλάχιστον 2 προβολές αριστερά",23
73070-50,XRAY,"Radiologic examination, elbow; 2 views","Ακτινολογική εξέταση, αγκώνα; 2 προβολές, άμφω",36.5
73070-RT,XRAY,"Radiologic examination, elbow; 2 views","Ακτινολογική εξέταση, αγκώνα; 2 προβολές, δεξιά",27.5
73070-LT,XRAY,"Radiologic examination, elbow; 2 views","Ακτινολογική εξέταση, αγκώνα; 2 προβολές, αριστερά",27.5
73080-50,XRAY,"Radiologic examination, elbow; complete, minimum of 3 views","Ακτινολογική εξέταση, αγκώνα; πλήρης, τουλάχιστον 3 προβολές, άμφω",36.5
73080-RT,XRAY,"Radiologic examination, elbow; complete, minimum of 3 views","Ακτινολογική εξέταση, αγκώνα; πλήρης, τουλάχιστον 3 προβολές, δεξιά",27.5
73080-LT,XRAY,"Radiologic examination, elbow; complete, minimum of 3 views","Ακτινολογική εξέταση, αγκώνα; πλήρης, τουλάχιστον 3 προβολές, αριστερά",27.5
73090-50,XRAY,"Radiologic examination; forearm, 2 views","Ακτινολογική εξέταση; αντιβράχιο, 2 προβολές, άμφω",27.5
73090-RT,XRAY,"Radiologic examination; forearm, 2 views","Ακτινολογική εξέταση; αντιβράχιο, 2 προβολές, δεξιά",23
73090-LT,XRAY,"Radiologic examination; forearm, 2 views","Ακτινολογική εξέταση; αντιβράχιο, 2 προβολές, αριστερά",23
73100-50,XRAY,"Radiologic examination, wrist; 2 views","Ακτινογραφία καρπού, 2 προβολές",36.5
73100-RT,XRAY,"Radiologic examination, wrist; 2 views","Ακτινογραφία καρπού, 2 προβολές",27.5
73100-LT,XRAY,"Radiologic examination, wrist; 2 views","Ακτινογραφία καρπού, 2 προβολές",27.5
73110-50,XRAY,"Radiologic examination, wrist; complete, minimum of 3 views","Ακτινογραφία καρπού, πλήρης, τουλάχιστον 3 προβολές",36.5
73110-RT,XRAY,"Radiologic examination, wrist; complete, minimum of 3 views","Ακτινογραφία καρπού, πλήρης, τουλάχιστον 3 προβολές",27.5
73110-LT,XRAY,"Radiologic examination, wrist; complete, minimum of 3 views","Ακτινογραφία καρπού, πλήρης, τουλάχιστον 3 προβολές",27.5
73120-50,XRAY,"Radiologic examination, hand; 2 views","Ακτινολογική εξέταση, χέρι; 2 προβολές (άμφω)",36.5
73120-RT,XRAY,"Radiologic examination, hand; 2 views","Ακτινολογική εξέταση, χέρι; 2 προβολές (δεξιά)",27.5
73120-LT,XRAY,"Radiologic examination, hand; 2 views","Ακτινολογική εξέταση, χέρι; 2 προβολές (αριστερά)",27.5
73130-50,XRAY,"Radiologic examination, hand; minimum of 3 views","Ακτινολογική εξέταση, χέρι; 3 προβολές (άμφω)",36.5
73130-RT,XRAY,"Radiologic examination, hand; minimum of 3 views","Ακτινολογική εξέταση, χέρι; 3 προβολές (δεξιά)",27.5
73130-LT,XRAY,"Radiologic examination, hand; minimum of 3 views","Ακτινολογική εξέταση, χέρι; 3 προβολές (αριστερά)",27.5
73140,XRAY,"Radiologic examination, finger(s), minimum of 2 views","Ακτινολογική εξέταση, δάχτυλο(α), τουλάχιστον 2 προβολές",23
73502,XRAY,"Radiologic examination, hip, unilateral, with pelvis when performed; 2-3 views","Ακτινογραφία ισχίου, ετερόπλευρη, με πύελο εφόσον εκτελείται, 2-3 προβολές",27.5
73521,XRAY,"Radiologic examination, hips, bilateral, with pelvis when performed; 2 views","Ακτινογραφία ισχίου, αμφοτερόπλευρη, με πύελο εφόσον εκτελείται, 2 προβολές",32
73522,XRAY,"Radiologic examination, hips, bilateral, with pelvis when performed; 3-4 views","Ακτινογραφία ισχίου, αμφοτερόπλευρη, με πύελο εφόσον εκτελείται, 3-4 προβολές",36.5
73552-50,XRAY,"Radiologic examination, femur; minimum 2 views","Ακτινογραφία μηρού, τουλάχιστον 2 προβολές",36.5
73552-RT,XRAY,"Radiologic examination, femur; minimum 2 views","Ακτινογραφία μηρού, τουλάχιστον 2 προβολές",27.5
73552-LT,XRAY,"Radiologic examination, femur; minimum 2 views","Ακτινογραφία μηρού, τουλάχιστον 2 προβολές",27.5
73560-50,XRAY,"Radiologic examination, knee; 1 or 2 views","Ακτινογραφία γόνατος, 1 ή 2 προβολές",36.5
73560-RT,XRAY,"Radiologic examination, knee; 1 or 2 views","Ακτινογραφία γόνατος, 1 ή 2 προβολές",23
73560-LT,XRAY,"Radiologic examination, knee; 1 or 2 views","Ακτινογραφία γόνατος, 1 ή 2 προβολές",23
73562-50,XRAY,"Radiologic examination, knee; 3 views","Ακτινογραφία γόνατος, 3 προβολές",32
73562-RT,XRAY,"Radiologic examination, knee; 3 views","Ακτινογραφία γόνατος, 3 προβολές",23
73562-LT,XRAY,"Radiologic examination, knee; 3 views","Ακτινογραφία γόνατος, 3 προβολές",23
73564-50,XRAY,"Radiologic examination, knee; complete, 4 or more views","Ακτινογραφία γόνατος, πλήρης, 4 ή περισσότερες προβολές",36.5
73564-RT,XRAY,"Radiologic examination, knee; complete, 4 or more views","Ακτινογραφία γόνατος, πλήρης, 4 ή περισσότερες προβολές",27.5
73564-LT,XRAY,"Radiologic examination, knee; complete, 4 or more views","Ακτινογραφία γόνατος, πλήρης, 4 ή περισσότερες προβολές",27.5
73590-50,XRAY,"Radiologic examination; tibia and fibula, 2 views","Ακτινολογική εξέταση; κνήμη και περόνη, 2 προβολές (άμφω)",36.5
73590-RT,XRAY,"Radiologic examination; tibia and fibula, 2 views","Ακτινολογική εξέταση; κνήμη και περόνη, 2 προβολές (δεξιά)",23
73590-LT,XRAY,"Radiologic examination; tibia and fibula, 2 views","Ακτινολογική εξέταση; κνήμη και περόνη, 2 προβολές (αριστερά)",23
73600-50,XRAY,"Radiologic examination, ankle; 2 views","Ακτινολογική εξέταση, αστράγαλος; 2 προβολές (άμφω)",36.5
73600-RT,XRAY,"Radiologic examination, ankle; 2 views","Ακτινολογική εξέταση, αστράγαλος; 2 προβολές (δεξιά)",23
73600-LT,XRAY,"Radiologic examination, ankle; 2 views","Ακτινολογική εξέταση, αστράγαλος; 2 προβολές (αριστερά)",23
73610-50,XRAY,"Radiologic examination, ankle; complete, minimum of 3 views","Ακτινολογική εξέταση, αστράγαλος; πλήρης, τουλάχιστον 3 προβολές (άμφω)",36.5
73610-RT,XRAY,"Radiologic examination, ankle; complete, minimum of 3 views","Ακτινολογική εξέταση, αστράγαλος; πλήρης, τουλάχιστον 3 προβολές (δεξιά)",27.5
73610-LT,XRAY,"Radiologic examination, ankle; complete, minimum of 3 views","Ακτινολογική εξέταση, αστράγαλος; πλήρης, τουλάχιστον 3 προβολές (αριστερά)",27.5
73620-50,XRAY,"Radiologic examination, foot; 2 views","Ακτινογραφία άκρου ποδός, 2 προβολές",36.5
73620-RT,XRAY,"Radiologic examination, foot; 2 views","Ακτινογραφία άκρου ποδός, 2 προβολές",23
73620-LT,XRAY,"Radiologic examination, foot; 2 views","Ακτινογραφία άκρου ποδός, 2 προβολές",23
73630-50,XRAY,"Radiologic examination, foot; complete, minimum of 3 views","Ακτινογραφία άκρου ποδός, πλήρης, τουλάχιστον 3 προβολές",36.5
73630-RT,XRAY,"Radiologic examination, foot; complete, minimum of 3 views","Ακτινογραφία άκρου ποδός, πλήρης, τουλάχιστον 3 προβολές",27.5
73630-LT,XRAY,"Radiologic examination, foot; complete, minimum of 3 views","Ακτινογραφία άκρου ποδός, πλήρης, τουλάχιστον 3 προβολές",27.5
73660,XRAY,"Radiologic examination; toe(s), minimum of 2 views","Ακτινολογική εξέταση; δάχτυλα των ποδιών, τουλάχιστον 2 προβολές",23
74018,XRAY,"Radiologic examination, abdomen; 1 view","Ακτινογραφία κοιλίας, 1 προβολή",23
74019,XRAY,"Radiologic examination, abdomen; 2 views","Ακτινογραφία κοιλίας, 2 προβολές",27.5
75820,XRAY,"Venography, extremity, unilateral, radiological supervision and interpretation","Φλεβογραφία άκρου, ετερόπλευρη, ακτινολογική επίβλεψη και ερμηνεία",61
75822,XRAY,"Venography, extremity, bilateral, radiological supervision and interpretation","Φλεβογραφία άκρου, αμφοτερόπλευρη, ακτινολογική επίβλεψη και ερμηνεία",68.5
77075,XRAY,"Radiologic examination, osseous survey; complete (axial and appendicular skeleton)","Ακτινολογική εξέταση, οστική μελέτη. πλήρης (αξονικός και σκωληκοειδής σκελετός)",61
77072,XRAY,Bone age studies,Μελέτες οστικής ηλικίας,27.5
CY086,XRAY,"Radiologic examination, full leg","Ακτινολογικός έλεγχος, ολόκληρο το πόδι (άμφω)",59.5
CY086-RT,XRAY,"Radiologic examination, full leg","Ακτινολογικός έλεγχος, ολόκληρο το πόδι (δεξιά)",36.5
CY086-LT,XRAY,"Radiologic examination, full leg","Ακτινολογικός έλεγχος, ολόκληρο το πόδι (αριστερά)",36.5
70355,XRAY,Orthopantogrma (eg panoramıc x ray),Ορθοπαντόγραμμα (π.χ. πανοραμική ακτινογραφία),23
CY247,XRAY,"Radiologic examination, adenoid vegetation; complete, 1 view","Ακτινογραφία αδενοϊδών εκβλαστήσεων, πλήρης, 1 προβολή",25
CY141,ΜRΑ,"Magnetic resonance angiography, chest/abdomen, with or without contrast material(s)","Μαγνητική αγγειογραφία θώρακα /κοιλιάς, με ή χωρίς σκιαγραφικό μέσο(α)",262.5
